EXCOM,EXINCNEW,EXINCREV,EXINCOTH,ABSND
12340,0,5424,0,905
20,0,0,0,0
315,101,229,0,40
3511,260,1287,0,775
1749,,1126,73,341
26589,15836,338,36955,62
1228,169,761,,137
180,0,0,80,50
,,,,137
1403,471,554,853,1125
4950,2437,3360,,2379
8309,1420,2782,0,
282,24,287,0,133
215,,,,147
12420,3870,582,,
1095,613,371,155,100
1157,220,205,0,0
385,374,2185,26,0
1031,126,1149,,
3446,1979,1343,,859
0,0,1,0,0
5950,841,634,369,1670
2564,,1145,0,
5251,868,1796,2072,1617
1376,135,505,0,218
993,0,0,0,0
3487,1177,611,0,
,,,,30
536,,368,0,52
1125,,350,0,310
247,67,149,0,0
4633,814,3167,0,0
327,,418,,224
10889,3663,6844,,5890
7789,,4631,,2248
141,6,24,0,0
2990,608,1377,691,
590,162,63,0,66
2026,1118,1118,,3544
20976,2655,3867,163,1333
342,55,75,12,0
927,176,425,78,502
401,0,180,0,17
1228,,1462,0,620
11740,0,19776,,15293
334,193,858,0,156
56,77,123,0,16
6326,0,2563,0,0
1587,7,49,0,300
356,43,111,0,27
1915,0,1177,0,636
143,,36,,49
