EXCOM(PB),EXINCNEW(PB),EXINCURR(PB),ABSND(PB),EXCOM(PA),EXINCNEW(PA),EXINCREV(PA),EXINCOTH(PA),ABSND(PA)
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
16381,2272,0,3892,12340,0,5424,0,905
0,0,0,225,20,0,0,0,0
644,0,0,172,315,101,229,0,40
7542,1474,1475,6005,3511,260,1287,0,775
2470,647,284,2723,1749,0,1126,73,341
68132,0,57276,0,26589,15836,338,36955,62
16311,1338,1537,795,1228,169,761,0,137
0,0,0,0,180,0,0,80,50
0,0,0,2488,0,0,0,0,137
3573,0,1919,51,1403,471,554,853,1125
60568,11282,29074,71575,4950,2437,3360,0,2379
45784,2823,5840,3916,8309,1420,2782,0,0
0,0,0,0,282,24,287,0,133
1315,0,0,142,215,0,0,0,147
41553,0,516,0,12420,3870,582,0,0
0,0,0,0,1095,613,371,155,100
8026,825,886,0,1157,220,205,0,0
7245,1054,1055,0,385,374,2185,26,0
3760,192,1475,0,1031,126,1149,0,0
6449,573,1978,2079,3446,1979,1343,0,859
0,0,0,1024,0,0,1,0,0
18284,3667,4617,10882,5950,841,634,369,1670
0,0,0,0,2564,0,1145,0,0
30378,2382,3085,6133,5251,868,1796,2072,1617
0,0,0,0,1376,135,505,0,218
1804,0,0,0,993,0,0,0,0
13719,977,2901,0,3487,1177,611,0,0
0,0,0,0,0,0,0,0,30
8596,486,486,0,536,0,368,0,52
3188,1419,0,900,1125,0,350,0,310
2089,0,347,0,247,67,149,0,0
28037,1649,0,0,4633,814,3167,0,0
3639,0,673,0,327,0,418,0,224
24302,5497,0,0,10889,3663,6844,0,5890
26911,0,12822,11112,7789,0,4631,0,2248
735,160,227,0,141,6,24,0,0
41841,1221,3546,5873,2990,608,1377,691,0
10040,825,710,3669,590,162,63,0,66
9028,768,2064,11096,2026,1118,1118,0,3544
22179,1139,1762,118,20976,2655,3867,163,1333
6028,947,,0,342,55,75,12,0
10105,986,2160,5452,927,176,425,78,502
4158,0,0,0,401,0,180,0,17
6618,0,573,4016,1228,0,1462,0,620
108454,8089,26070,74654,11740,0,19776,0,15293
2749,120,254,716,334,193,858,0,156
1277,727,43,600,56,77,123,0,16
7242,0,0,0,6326,0,2563,0,0
22993,997,2143,16507,1587,7,49,0,300
0,0,0,0,356,43,111,0,27
12376,0,0,5176,1915,0,1177,0,636
1197,270,0,367,143,0,36,0,49
